"","gender","age","region","subjectID","experimentName","item","verbtype","complementizer","prosody","naturalness","veridicality","comment"
"65","F","30s","nonUS",2.62e+13,"veridicality-pilot2","painter","al","jul1","MV",5,5,""
"66","F","30s","nonUS",2.62e+13,"veridicality-pilot2","painter","gieok","jul1","ES",3,6,""
"67","F","30s","nonUS",2.62e+13,"veridicality-pilot2","marry","gieok","go","MV",5,4,""
"68","F","30s","nonUS",2.62e+13,"veridicality-pilot2","marry","alanae","jul1","EV",3,6,""
"69","F","30s","nonUS",2.62e+13,"veridicality-pilot2","painter","moreu","jul1","MV",6,7,""
"70","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","alanae","jul2","MV",7,7,""
"71","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","mit","jul2","MV",7,1,""
"72","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","mit","jul2","ES",3,2,""
"73","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","al","go","ES",7,4,""
"74","F","20s","non48",7.37e+14,"veridicality-pilot2","come","gieok","jul2","EV",2,5,""
"75","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","alanae","jul2","ES",6,7,""
"76","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","ggameok","go","MV",1,7,""
"77","F","20s","non48",7.37e+14,"veridicality-pilot2","come","moreu","go","MV",1,6,""
"78","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","ggameok","jul2","MV",5,7,""
"79","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","mit","go","MV",7,3,""
"80","F","20s","non48",7.37e+14,"veridicality-pilot2","come","ggameok","jul2","EV",5,7,""
"81","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","gieok","jul2","MV",6,7,""
"82","F","20s","non48",7.37e+14,"veridicality-pilot2","marry","alanae","go","MV",5,7,""
"83","F","20s","non48",7.37e+14,"veridicality-pilot2","come","ggameok","go","ES",2,7,""
"84","F","20s","non48",7.37e+14,"veridicality-pilot2","come","al","jul2","MV",7,7,""
"85","F","20s","non48",7.37e+14,"veridicality-pilot2","painter","gieok","go","MV",6,7,""
